metric,unit,AI_average,RAW_average,RAW_minus_AI
Peak horizontal velocity,m/s,4.85357745,3.55996013,-1.29361732
RMS horizontal velocity,m/s,2.67802305,1.86508315,-0.812939895
Peak absolute X velocity,m/s,0.779212892,0.400728537,-0.378484355
Peak absolute Y velocity,m/s,4.83609054,3.55954744,-1.2765431
Maximum absolute pitch rate,rad/s,4.0514415,2.36210686,-1.68933463
P99 absolute pitch rate,rad/s,2.67047836,1.64462412,-1.02585424
Minimum roll angle,degrees,-5.53980375,-2.22142232,3.31838143
Maximum roll angle,degrees,5.98067304,4.01492849,-1.96574455
Peak absolute roll angle,degrees,6.36726766,4.02221629,-2.34505137
Minimum relative pitch angle,degrees,-40.4343461,-24.6548095,15.7795366
Maximum relative pitch angle,degrees,25.7593053,22.19132,-3.56798527
Maximum absolute pitch angle,degrees,34.0424387,24.5820795,-9.46035927
Maximum absolute yaw excursion,degrees,4.47959094,3.38942336,-1.09016758
Yaw range,degrees,7.21478323,4.25090862,-2.9638746
