evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
raw_flight_1,36.19,56.19,20,Peak horizontal velocity,3.68866139,m/s,2398,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_1,36.19,56.19,20,RMS horizontal velocity,1.95776265,m/s,2398,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_1,36.19,56.19,20,Peak absolute X velocity,0.38526856,m/s,2398,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
raw_flight_1,36.19,56.19,20,Peak absolute Y velocity,3.68866131,m/s,2398,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
raw_flight_1,36.19,56.19,20,Maximum absolute pitch rate,2.52368313,rad/s,1998,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_1,36.19,56.19,20,P99 absolute pitch rate,1.75458618,rad/s,1998,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_1,36.19,56.19,20,Minimum roll angle,-1.67464949,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_1,36.19,56.19,20,Maximum roll angle,4.49446413,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_1,36.19,56.19,20,Peak absolute roll angle,4.49446413,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_1,36.19,56.19,20,Minimum relative pitch angle,-27.8825542,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
raw_flight_1,36.19,56.19,20,Maximum relative pitch angle,23.7775625,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
raw_flight_1,36.19,56.19,20,Maximum absolute pitch angle,27.4778089,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
raw_flight_1,36.19,56.19,20,Maximum absolute yaw excursion,2.7182924,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
raw_flight_1,36.19,56.19,20,Yaw range,3.46616188,degrees,2400,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
raw_flight_2,37.1,57.1,20,Peak horizontal velocity,4.16301315,m/s,2400,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
