duration_label,dataset,bag_name,evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
20s,AI,flight_2026-07-01-12-23-36.bag,ai_flight_1,41.07,61.07,20.0,Peak horizontal velocity,5.314112497214209,m/s,2400,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-12-23-36.bag,ai_flight_1,41.07,61.07,20.0,RMS horizontal velocity,2.440284376943387,m/s,2400,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-12-23-36.bag,ai_flight_1,41.07,61.07,20.0,Peak absolute X velocity,0.816285046075107,m/s,2400,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
20s,AI,flight_2026-07-01-12-23-36.bag,ai_flight_1,41.07,61.07,20.0,Peak absolute Y velocity,5.302746943378152,m/s,2400,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
20s,AI,flight_2026-07-01-12-23-36.bag,ai_flight_1,41.07,61.07,20.0,Maximum absolute pitch rate,3.6870857158963,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_2026-07-01-12-23-36.bag,ai_flight_1,41.07,61.07,20.0,P99 absolute pitch rate,2.4991103675093247,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_2026-07-01-12-23-36.bag,ai_flight_1,41.07,61.07,20.0,Minimum roll angle,-3.898186832992667,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-12-23-36.bag,ai_flight_1,41.07,61.07,20.0,Maximum roll angle,6.1602375871558195,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-12-23-36.bag,ai_flight_1,41.07,61.07,20.0,Peak absolute roll angle,6.1602375871558195,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-12-23-36.bag,ai_flight_1,41.07,61.07,20.0,Minimum relative pitch angle,-36.336378620827425,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_2026-07-01-12-23-36.bag,ai_flight_1,41.07,61.07,20.0,Maximum relative pitch angle,35.86222778368492,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_2026-07-01-12-23-36.bag,ai_flight_1,41.07,61.07,20.0,Maximum absolute pitch angle,36.47150400736569,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
20s,AI,flight_2026-07-01-12-23-36.bag,ai_flight_1,41.07,61.07,20.0,Maximum absolute yaw excursion,3.3295760862473296,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
