evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
ai_flight_1,55.15,75.15,20,Peak horizontal velocity,0.454561271,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_1,55.15,75.15,20,RMS horizontal velocity,0.301241649,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_1,55.15,75.15,20,Peak absolute X velocity,0.341998999,m/s,2399,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
ai_flight_1,55.15,75.15,20,Peak absolute Y velocity,0.452819759,m/s,2399,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
ai_flight_1,55.15,75.15,20,Maximum absolute pitch rate,0.927945099,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_1,55.15,75.15,20,P99 absolute pitch rate,0.391014985,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_1,55.15,75.15,20,Minimum roll angle,-1.59432874,degrees,2399,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_1,55.15,75.15,20,Maximum roll angle,4.16572463,degrees,2399,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_1,55.15,75.15,20,Peak absolute roll angle,4.16572463,degrees,2399,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_1,55.15,75.15,20,Minimum relative pitch angle,-2.94783879,degrees,2399,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
ai_flight_1,55.15,75.15,20,Maximum relative pitch angle,6.08207435,degrees,2399,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
ai_flight_1,55.15,75.15,20,Maximum absolute pitch angle,6.09068932,degrees,2399,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
ai_flight_1,55.15,75.15,20,Maximum absolute yaw excursion,2.09530856,degrees,2399,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
ai_flight_1,55.15,75.15,20,Yaw range,3.70595121,degrees,2399,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
ai_flight_1,55.15,75.15,20,Median horizontal velocity,0.309632931,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_1,55.15,75.15,20,P95 horizontal velocity,0.393003162,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_1,55.15,75.15,20,Percentage of time with horizontal velocity below 0.1 m/s,4.58524385,%,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_2,54.92,74.92,20,Peak horizontal velocity,0.526418037,m/s,2392,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_2,54.92,74.92,20,RMS horizontal velocity,0.312687239,m/s,2392,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_2,54.92,74.92,20,Peak absolute X velocity,0.390150318,m/s,2392,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
ai_flight_2,54.92,74.92,20,Peak absolute Y velocity,0.432589117,m/s,2392,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
ai_flight_2,54.92,74.92,20,Maximum absolute pitch rate,0.459354221,rad/s,1995,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_2,54.92,74.92,20,P99 absolute pitch rate,0.300460681,rad/s,1995,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_2,54.92,74.92,20,Minimum roll angle,-2.19799781,degrees,2394,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_2,54.92,74.92,20,Maximum roll angle,3.77588282,degrees,2394,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
