metric,unit,AI_average,RAW_average,RAW_minus_AI
Peak horizontal velocity,m/s,0.52297967,0.709373937,0.186394267
RMS horizontal velocity,m/s,0.298431338,0.309179504,0.0107481667
Peak absolute X velocity,m/s,0.391056048,0.46092188,0.0698658327
Peak absolute Y velocity,m/s,0.456346995,0.614674666,0.158327671
Maximum absolute pitch rate,rad/s,0.652652045,1.62390918,0.971257135
P99 absolute pitch rate,rad/s,0.348152475,0.803048737,0.454896262
Minimum roll angle,degrees,-2.02795674,-1.14792373,0.880033009
Maximum roll angle,degrees,3.93522978,4.70751072,0.77228094
Peak absolute roll angle,degrees,3.93522978,4.70751072,0.77228094
Minimum relative pitch angle,degrees,-1.85367999,-3.7884803,-1.9348003
Maximum relative pitch angle,degrees,4.51090929,3.15007634,-1.36083295
Maximum absolute pitch angle,degrees,4.36398898,4.15155137,-0.21243761
Maximum absolute yaw excursion,degrees,2.4947389,3.64853917,1.15380026
Yaw range,degrees,3.40348109,4.92454483,1.52106374
Median horizontal velocity,m/s,0.291763962,0.246663833,-0.0451001297
P95 horizontal velocity,m/s,0.429832103,0.518127894,0.088295791
Percentage of time with horizontal velocity below 0.1 m/s,%,6.07234958,22.1695598,16.0972102
