duration_label,dataset,bag_name,evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
20s,AI,flight_1.bag,ai_flight_1,55.15,75.15,20.000000000000007,Peak horizontal velocity,0.45456127142091696,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_1.bag,ai_flight_1,55.15,75.15,20.000000000000007,RMS horizontal velocity,0.3012416489175546,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_1.bag,ai_flight_1,55.15,75.15,20.000000000000007,Peak absolute X velocity,0.3419989988153471,m/s,2399,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
20s,AI,flight_1.bag,ai_flight_1,55.15,75.15,20.000000000000007,Peak absolute Y velocity,0.45281975899279736,m/s,2399,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
20s,AI,flight_1.bag,ai_flight_1,55.15,75.15,20.000000000000007,Maximum absolute pitch rate,0.9279450985613563,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_1.bag,ai_flight_1,55.15,75.15,20.000000000000007,P99 absolute pitch rate,0.3910149848149005,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_1.bag,ai_flight_1,55.15,75.15,20.000000000000007,Minimum roll angle,-1.594328740108506,degrees,2399,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_1.bag,ai_flight_1,55.15,75.15,20.000000000000007,Maximum roll angle,4.165724633664529,degrees,2399,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_1.bag,ai_flight_1,55.15,75.15,20.000000000000007,Peak absolute roll angle,4.165724633664529,degrees,2399,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_1.bag,ai_flight_1,55.15,75.15,20.000000000000007,Minimum relative pitch angle,-2.94783878911994,degrees,2399,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_1.bag,ai_flight_1,55.15,75.15,20.000000000000007,Maximum relative pitch angle,6.082074349180983,degrees,2399,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_1.bag,ai_flight_1,55.15,75.15,20.000000000000007,Maximum absolute pitch angle,6.090689324392397,degrees,2399,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
