evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
ai_flight_1,45.05,65.05,20,Peak horizontal velocity,1.00160629,m/s,2395,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_1,45.05,65.05,20,RMS horizontal velocity,0.355276105,m/s,2395,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_1,45.05,65.05,20,Peak absolute X velocity,0.706431628,m/s,2395,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
ai_flight_1,45.05,65.05,20,Peak absolute Y velocity,0.760309609,m/s,2395,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
ai_flight_1,45.05,65.05,20,Maximum absolute pitch rate,2.74214329,rad/s,1986,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_1,45.05,65.05,20,P99 absolute pitch rate,1.29080019,rad/s,1986,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_1,45.05,65.05,20,P99 absolute yaw rate,263.004401,degrees/s,1589,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
ai_flight_1,45.05,65.05,20,Minimum roll angle,-4.79482462,degrees,2395,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_1,45.05,65.05,20,Maximum roll angle,7.6563574,degrees,2395,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_1,45.05,65.05,20,Peak absolute roll angle,7.6563574,degrees,2395,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_1,45.05,65.05,20,Minimum relative pitch angle,-7.35464257,degrees,2395,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
ai_flight_1,45.05,65.05,20,Maximum relative pitch angle,7.67921651,degrees,2395,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
