evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
raw_flight_1,113.37,133.37,20,Peak horizontal velocity,1.1072995,m/s,2367,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_1,113.37,133.37,20,RMS horizontal velocity,0.47182035,m/s,2367,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_1,113.37,133.37,20,Peak absolute X velocity,0.891139585,m/s,2367,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
raw_flight_1,113.37,133.37,20,Peak absolute Y velocity,0.828712126,m/s,2367,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
raw_flight_1,113.37,133.37,20,Maximum absolute pitch rate,16.3798492,rad/s,1989,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_1,113.37,133.37,20,P99 absolute pitch rate,9.69477829,rad/s,1989,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_1,113.37,133.37,20,P99 absolute yaw rate,644.675985,degrees/s,1585,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
raw_flight_1,113.37,133.37,20,Minimum roll angle,-179.022945,degrees,2371,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_1,113.37,133.37,20,Maximum roll angle,10.7037558,degrees,2371,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_1,113.37,133.37,20,Peak absolute roll angle,179.022945,degrees,2371,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_1,113.37,133.37,20,Minimum relative pitch angle,-20.3345616,degrees,2371,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
raw_flight_1,113.37,133.37,20,Maximum relative pitch angle,54.061286,degrees,2371,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
raw_flight_1,113.37,133.37,20,Maximum absolute pitch angle,53.6709301,degrees,2371,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
raw_flight_1,113.37,133.37,20,Maximum absolute yaw excursion,164.334372,degrees,2371,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
raw_flight_1,113.37,133.37,20,Yaw range,172.54308,degrees,2371,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
raw_flight_1,113.37,133.37,20,Median horizontal velocity,0.476529348,m/s,2367,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_1,113.37,133.37,20,P95 horizontal velocity,0.704996144,m/s,2367,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_1,113.37,133.37,20,Percentage of time with horizontal velocity below 0.1 m/s,4.98521335,%,2367,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_2,33.27,53.27,20,Peak horizontal velocity,0.833468706,m/s,2400,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_2,33.27,53.27,20,RMS horizontal velocity,0.358515128,m/s,2400,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_2,33.27,53.27,20,Peak absolute X velocity,0.685384461,m/s,2400,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
raw_flight_2,33.27,53.27,20,Peak absolute Y velocity,0.801593411,m/s,2400,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
raw_flight_2,33.27,53.27,20,Maximum absolute pitch rate,3.03804612,rad/s,1995,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_2,33.27,53.27,20,P99 absolute pitch rate,1.80948487,rad/s,1995,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_2,33.27,53.27,20,P99 absolute yaw rate,267.657974,degrees/s,1691,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
raw_flight_2,33.27,53.27,20,Minimum roll angle,-5.69625036,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_2,33.27,53.27,20,Maximum roll angle,11.6835918,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_2,33.27,53.27,20,Peak absolute roll angle,11.6835918,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_2,33.27,53.27,20,Minimum relative pitch angle,-7.82142674,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
raw_flight_2,33.27,53.27,20,Maximum relative pitch angle,5.74672079,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
raw_flight_2,33.27,53.27,20,Maximum absolute pitch angle,7.36318851,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
raw_flight_2,33.27,53.27,20,Maximum absolute yaw excursion,5.92395923,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
raw_flight_2,33.27,53.27,20,Yaw range,8.45280711,degrees,2400,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
raw_flight_2,33.27,53.27,20,Median horizontal velocity,0.269050694,m/s,2400,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_2,33.27,53.27,20,P95 horizontal velocity,0.620761965,m/s,2400,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_2,33.27,53.27,20,Percentage of time with horizontal velocity below 0.1 m/s,4,%,2400,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_3,38.22,58.22,20,Peak horizontal velocity,0.949535584,m/s,2397,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
