duration_label,dataset,bag_name,evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
20s,AI,flight_2026-07-01-14-41-46.bag,ai_flight_1,45.05,65.05,20.0,Peak horizontal velocity,1.0016062933214596,m/s,2395,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-14-41-46.bag,ai_flight_1,45.05,65.05,20.0,RMS horizontal velocity,0.3552761052683946,m/s,2395,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-14-41-46.bag,ai_flight_1,45.05,65.05,20.0,Peak absolute X velocity,0.7064316276442817,m/s,2395,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
20s,AI,flight_2026-07-01-14-41-46.bag,ai_flight_1,45.05,65.05,20.0,Peak absolute Y velocity,0.7603096085299299,m/s,2395,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
20s,AI,flight_2026-07-01-14-41-46.bag,ai_flight_1,45.05,65.05,20.0,Maximum absolute pitch rate,2.742143290197874,rad/s,1986,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_2026-07-01-14-41-46.bag,ai_flight_1,45.05,65.05,20.0,P99 absolute pitch rate,1.2908001905827176,rad/s,1986,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_2026-07-01-14-41-46.bag,ai_flight_1,45.05,65.05,20.0,P99 absolute yaw rate,263.00440071139064,degrees/s,1589,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
20s,AI,flight_2026-07-01-14-41-46.bag,ai_flight_1,45.05,65.05,20.0,Minimum roll angle,-4.79482461590606,degrees,2395,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-14-41-46.bag,ai_flight_1,45.05,65.05,20.0,Maximum roll angle,7.65635740253343,degrees,2395,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-14-41-46.bag,ai_flight_1,45.05,65.05,20.0,Peak absolute roll angle,7.65635740253343,degrees,2395,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-14-41-46.bag,ai_flight_1,45.05,65.05,20.0,Minimum relative pitch angle,-7.354642566009266,degrees,2395,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_2026-07-01-14-41-46.bag,ai_flight_1,45.05,65.05,20.0,Maximum relative pitch angle,7.679216513230356,degrees,2395,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_2026-07-01-14-41-46.bag,ai_flight_1,45.05,65.05,20.0,Maximum absolute pitch angle,8.199701768295341,degrees,2395,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
20s,AI,flight_2026-07-01-14-41-46.bag,ai_flight_1,45.05,65.05,20.0,Maximum absolute yaw excursion,8.426520666439984,degrees,2395,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
20s,AI,flight_2026-07-01-14-41-46.bag,ai_flight_1,45.05,65.05,20.0,Yaw range,13.38307207156148,degrees,2395,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
20s,AI,flight_2026-07-01-14-41-46.bag,ai_flight_1,45.05,65.05,20.0,Median horizontal velocity,0.3168613925332446,m/s,2395,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-14-41-46.bag,ai_flight_1,45.05,65.05,20.0,P95 horizontal velocity,0.5571866826369375,m/s,2395,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-14-41-46.bag,ai_flight_1,45.05,65.05,20.0,Percentage of time with horizontal velocity below 0.1 m/s,1.1273486430062631,%,2395,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-14-45-13.bag,ai_flight_2,37.39,57.39,20.0,Peak horizontal velocity,0.8116563971517714,m/s,2398,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-14-45-13.bag,ai_flight_2,37.39,57.39,20.0,RMS horizontal velocity,0.35568240087145514,m/s,2398,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-14-45-13.bag,ai_flight_2,37.39,57.39,20.0,Peak absolute X velocity,0.3868988079342772,m/s,2398,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
