duration_label,dataset,bag_name,evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
20s,RAW,flight_2026-07-01-13-16-49.bag,raw_flight_1,48.51,68.50999999999999,19.999999999999993,Peak horizontal velocity,1.3334685581952648,m/s,2389,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-13-16-49.bag,raw_flight_1,48.51,68.50999999999999,19.999999999999993,RMS horizontal velocity,0.6011708554995956,m/s,2389,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-13-16-49.bag,raw_flight_1,48.51,68.50999999999999,19.999999999999993,Peak absolute X velocity,0.5520306369760419,m/s,2389,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
20s,RAW,flight_2026-07-01-13-16-49.bag,raw_flight_1,48.51,68.50999999999999,19.999999999999993,Peak absolute Y velocity,1.3030266818172453,m/s,2389,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
20s,RAW,flight_2026-07-01-13-16-49.bag,raw_flight_1,48.51,68.50999999999999,19.999999999999993,Maximum absolute pitch rate,0.8647739308893361,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,RAW,flight_2026-07-01-13-16-49.bag,raw_flight_1,48.51,68.50999999999999,19.999999999999993,P99 absolute pitch rate,0.600090954031417,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,RAW,flight_2026-07-01-13-16-49.bag,raw_flight_1,48.51,68.50999999999999,19.999999999999993,Minimum roll angle,-6.345778747616446,degrees,2393,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-13-16-49.bag,raw_flight_1,48.51,68.50999999999999,19.999999999999993,Maximum roll angle,4.181040161244072,degrees,2393,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-13-16-49.bag,raw_flight_1,48.51,68.50999999999999,19.999999999999993,Peak absolute roll angle,6.345778747616446,degrees,2393,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-13-16-49.bag,raw_flight_1,48.51,68.50999999999999,19.999999999999993,Minimum relative pitch angle,-18.12964882961699,degrees,2393,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
