duration_label,dataset,bag_name,evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
20s,AI,flight_1.bag,ai_flight_1,44.24,64.24000000000001,20.000000000000007,Peak horizontal velocity,0.8377427603271147,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_1.bag,ai_flight_1,44.24,64.24000000000001,20.000000000000007,RMS horizontal velocity,0.44520244543544857,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_1.bag,ai_flight_1,44.24,64.24000000000001,20.000000000000007,Peak absolute X velocity,0.23690569142104434,m/s,2399,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
20s,AI,flight_1.bag,ai_flight_1,44.24,64.24000000000001,20.000000000000007,Peak absolute Y velocity,0.820934227844301,m/s,2399,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
20s,AI,flight_1.bag,ai_flight_1,44.24,64.24000000000001,20.000000000000007,Maximum absolute pitch rate,0.3560235843458643,rad/s,1997,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_1.bag,ai_flight_1,44.24,64.24000000000001,20.000000000000007,P99 absolute pitch rate,0.27043066549515654,rad/s,1997,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_1.bag,ai_flight_1,44.24,64.24000000000001,20.000000000000007,Minimum roll angle,-0.9730542846136278,degrees,2399,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_1.bag,ai_flight_1,44.24,64.24000000000001,20.000000000000007,Maximum roll angle,3.343153898693186,degrees,2399,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_1.bag,ai_flight_1,44.24,64.24000000000001,20.000000000000007,Peak absolute roll angle,3.343153898693186,degrees,2399,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_1.bag,ai_flight_1,44.24,64.24000000000001,20.000000000000007,Minimum relative pitch angle,-3.8178433963957854,degrees,2399,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_1.bag,ai_flight_1,44.24,64.24000000000001,20.000000000000007,Maximum relative pitch angle,3.016828920136925,degrees,2399,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_1.bag,ai_flight_1,44.24,64.24000000000001,20.000000000000007,Maximum absolute pitch angle,4.305979834005791,degrees,2399,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
20s,AI,flight_1.bag,ai_flight_1,44.24,64.24000000000001,20.000000000000007,Maximum absolute yaw excursion,2.0884899402147634,degrees,2399,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
20s,AI,flight_1.bag,ai_flight_1,44.24,64.24000000000001,20.000000000000007,Yaw range,4.0075002226005765,degrees,2399,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
20s,AI,flight_2.bag,ai_flight_2,32.99,52.99,20.0,Peak horizontal velocity,0.6930356930718701,m/s,2397,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2.bag,ai_flight_2,32.99,52.99,20.0,RMS horizontal velocity,0.41947547902432075,m/s,2397,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2.bag,ai_flight_2,32.99,52.99,20.0,Peak absolute X velocity,0.47871284612310383,m/s,2397,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
20s,AI,flight_2.bag,ai_flight_2,32.99,52.99,20.0,Peak absolute Y velocity,0.6760310465049457,m/s,2397,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
20s,AI,flight_2.bag,ai_flight_2,32.99,52.99,20.0,Maximum absolute pitch rate,0.6008863954840122,rad/s,1994,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_2.bag,ai_flight_2,32.99,52.99,20.0,P99 absolute pitch rate,0.3575273394171864,rad/s,1994,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_2.bag,ai_flight_2,32.99,52.99,20.0,Minimum roll angle,0.11419905537590569,degrees,2397,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2.bag,ai_flight_2,32.99,52.99,20.0,Maximum roll angle,3.276312015475584,degrees,2397,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2.bag,ai_flight_2,32.99,52.99,20.0,Peak absolute roll angle,3.276312015475584,degrees,2397,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2.bag,ai_flight_2,32.99,52.99,20.0,Minimum relative pitch angle,-5.516105781849799,degrees,2397,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_2.bag,ai_flight_2,32.99,52.99,20.0,Maximum relative pitch angle,2.3624030675644927,degrees,2397,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_2.bag,ai_flight_2,32.99,52.99,20.0,Maximum absolute pitch angle,4.492000419058257,degrees,2397,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
20s,AI,flight_2.bag,ai_flight_2,32.99,52.99,20.0,Maximum absolute yaw excursion,1.8550763939882666,degrees,2397,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
20s,AI,flight_2.bag,ai_flight_2,32.99,52.99,20.0,Yaw range,2.8648466757829887,degrees,2397,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
20s,AI,flight_3.bag,ai_flight_3,35.95,55.95,20.0,Peak horizontal velocity,1.018356512918322,m/s,2398,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
