metric,unit,AI_average,RAW_average,RAW_minus_AI
Peak horizontal velocity,m/s,1.68359076,1.51653419,-0.167056563
RMS horizontal velocity,m/s,0.894070757,0.736759755,-0.157311002
Peak absolute X velocity,m/s,0.525843741,0.3742475,-0.151596241
Peak absolute Y velocity,m/s,1.68145247,1.51278604,-0.16866643
Maximum absolute pitch rate,rad/s,1.18871379,0.985771171,-0.202942616
P99 absolute pitch rate,rad/s,0.802600926,0.596229174,-0.206371753
Minimum roll angle,degrees,-3.17368898,-3.75518214,-0.58149316
Maximum roll angle,degrees,4.23339852,3.6048797,-0.628518823
Peak absolute roll angle,degrees,4.23339852,3.98286048,-0.25053804
Minimum relative pitch angle,degrees,-11.3606965,-7.85240889,3.5082876
Maximum relative pitch angle,degrees,9.12298715,8.77830174,-0.344685407
Maximum absolute pitch angle,degrees,11.0028611,9.51494272,-1.48791835
Maximum absolute yaw excursion,degrees,2.20864571,2.26232364,0.0536779267
Yaw range,degrees,3.21519121,3.34131906,0.12612785
