evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
raw_flight_1,38.48,58.48,20,Peak horizontal velocity,1.79553089,m/s,2398,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_1,38.48,58.48,20,RMS horizontal velocity,0.735952095,m/s,2398,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_1,38.48,58.48,20,Peak absolute X velocity,0.305131832,m/s,2398,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
raw_flight_1,38.48,58.48,20,Peak absolute Y velocity,1.78948343,m/s,2398,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
raw_flight_1,38.48,58.48,20,Maximum absolute pitch rate,1.04987365,rad/s,1997,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_1,38.48,58.48,20,P99 absolute pitch rate,0.617154947,rad/s,1997,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_1,38.48,58.48,20,Minimum roll angle,-2.88956735,degrees,2399,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_1,38.48,58.48,20,Maximum roll angle,3.57260237,degrees,2399,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_1,38.48,58.48,20,Peak absolute roll angle,3.57260237,degrees,2399,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_1,38.48,58.48,20,Minimum relative pitch angle,-9.04268305,degrees,2399,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
raw_flight_1,38.48,58.48,20,Maximum relative pitch angle,7.68458779,degrees,2399,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
raw_flight_1,38.48,58.48,20,Maximum absolute pitch angle,9.29428246,degrees,2399,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
