duration_label,dataset,bag_name,evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
20s,AI,flight_2026-07-01-12-09-03.bag,ai_flight_1,34.43,54.43,20.0,Peak horizontal velocity,1.854172359785775,m/s,2391,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-12-09-03.bag,ai_flight_1,34.43,54.43,20.0,RMS horizontal velocity,0.9183037738606706,m/s,2391,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-12-09-03.bag,ai_flight_1,34.43,54.43,20.0,Peak absolute X velocity,0.8563014844380001,m/s,2391,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
20s,AI,flight_2026-07-01-12-09-03.bag,ai_flight_1,34.43,54.43,20.0,Peak absolute Y velocity,1.8536274337588177,m/s,2391,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
20s,AI,flight_2026-07-01-12-09-03.bag,ai_flight_1,34.43,54.43,20.0,Maximum absolute pitch rate,1.7855925426535886,rad/s,1990,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_2026-07-01-12-09-03.bag,ai_flight_1,34.43,54.43,20.0,P99 absolute pitch rate,1.1750961193443974,rad/s,1990,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_2026-07-01-12-09-03.bag,ai_flight_1,34.43,54.43,20.0,Minimum roll angle,-4.3025859130290485,degrees,2394,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-12-09-03.bag,ai_flight_1,34.43,54.43,20.0,Maximum roll angle,5.133522742191834,degrees,2394,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-12-09-03.bag,ai_flight_1,34.43,54.43,20.0,Peak absolute roll angle,5.133522742191834,degrees,2394,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-12-09-03.bag,ai_flight_1,34.43,54.43,20.0,Minimum relative pitch angle,-15.73343366330978,degrees,2394,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_2026-07-01-12-09-03.bag,ai_flight_1,34.43,54.43,20.0,Maximum relative pitch angle,10.36331500342334,degrees,2394,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_2026-07-01-12-09-03.bag,ai_flight_1,34.43,54.43,20.0,Maximum absolute pitch angle,13.209141719302828,degrees,2394,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
20s,AI,flight_2026-07-01-12-09-03.bag,ai_flight_1,34.43,54.43,20.0,Maximum absolute yaw excursion,3.0852002114787584,degrees,2394,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
20s,AI,flight_2026-07-01-12-09-03.bag,ai_flight_1,34.43,54.43,20.0,Yaw range,4.013816072456094,degrees,2394,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
20s,AI,flight_2026-07-01-12-11-43.bag,ai_flight_2,41.62,61.62,20.0,Peak horizontal velocity,1.7675835373388085,m/s,2393,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-12-11-43.bag,ai_flight_2,41.62,61.62,20.0,RMS horizontal velocity,1.001566937974667,m/s,2393,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-12-11-43.bag,ai_flight_2,41.62,61.62,20.0,Peak absolute X velocity,0.4270778692706978,m/s,2393,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
20s,AI,flight_2026-07-01-12-11-43.bag,ai_flight_2,41.62,61.62,20.0,Peak absolute Y velocity,1.7667711096395067,m/s,2393,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
20s,AI,flight_2026-07-01-12-11-43.bag,ai_flight_2,41.62,61.62,20.0,Maximum absolute pitch rate,1.1979766900549813,rad/s,1989,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_2026-07-01-12-11-43.bag,ai_flight_2,41.62,61.62,20.0,P99 absolute pitch rate,0.8592016086684002,rad/s,1989,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_2026-07-01-12-11-43.bag,ai_flight_2,41.62,61.62,20.0,Minimum roll angle,-2.668953325902623,degrees,2398,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-12-11-43.bag,ai_flight_2,41.62,61.62,20.0,Maximum roll angle,3.7602643418447266,degrees,2398,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-12-11-43.bag,ai_flight_2,41.62,61.62,20.0,Peak absolute roll angle,3.7602643418447266,degrees,2398,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-12-11-43.bag,ai_flight_2,41.62,61.62,20.0,Minimum relative pitch angle,-13.04160572448161,degrees,2398,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_2026-07-01-12-11-43.bag,ai_flight_2,41.62,61.62,20.0,Maximum relative pitch angle,9.76167006846294,degrees,2398,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_2026-07-01-12-11-43.bag,ai_flight_2,41.62,61.62,20.0,Maximum absolute pitch angle,12.363196773980489,degrees,2398,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
20s,AI,flight_2026-07-01-12-11-43.bag,ai_flight_2,41.62,61.62,20.0,Maximum absolute yaw excursion,2.131256782477289,degrees,2398,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
20s,AI,flight_2026-07-01-12-11-43.bag,ai_flight_2,41.62,61.62,20.0,Yaw range,3.307360401545071,degrees,2398,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
20s,AI,flight_2026-07-01-12-14-18.bag,ai_flight_3,35.62,55.62,20.0,Peak horizontal velocity,1.4290163661020134,m/s,2398,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-12-14-18.bag,ai_flight_3,35.62,55.62,20.0,RMS horizontal velocity,0.7623415572338739,m/s,2398,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-12-14-18.bag,ai_flight_3,35.62,55.62,20.0,Peak absolute X velocity,0.29415187021543776,m/s,2398,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
20s,AI,flight_2026-07-01-12-14-18.bag,ai_flight_3,35.62,55.62,20.0,Peak absolute Y velocity,1.4239588720459873,m/s,2398,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
20s,AI,flight_2026-07-01-12-14-18.bag,ai_flight_3,35.62,55.62,20.0,Maximum absolute pitch rate,0.5825721296915716,rad/s,1997,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_2026-07-01-12-14-18.bag,ai_flight_3,35.62,55.62,20.0,P99 absolute pitch rate,0.3735050499051687,rad/s,1997,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
