duration_label,dataset,bag_name,evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
20s,AI,flight_2026-07-01-14-59-51.bag,ai_flight_1,36.31,56.31,20.0,Peak horizontal velocity,0.8497328636700588,m/s,2398,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-14-59-51.bag,ai_flight_1,36.31,56.31,20.0,RMS horizontal velocity,0.30831250541135125,m/s,2398,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-14-59-51.bag,ai_flight_1,36.31,56.31,20.0,Peak absolute X velocity,0.7681193917399298,m/s,2398,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
20s,AI,flight_2026-07-01-14-59-51.bag,ai_flight_1,36.31,56.31,20.0,Peak absolute Y velocity,0.7884897965847237,m/s,2398,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
20s,AI,flight_2026-07-01-14-59-51.bag,ai_flight_1,36.31,56.31,20.0,Maximum absolute pitch rate,2.1632289753940936,rad/s,1997,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_2026-07-01-14-59-51.bag,ai_flight_1,36.31,56.31,20.0,P99 absolute pitch rate,1.3005270233844688,rad/s,1997,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_2026-07-01-14-59-51.bag,ai_flight_1,36.31,56.31,20.0,P99 absolute yaw rate,264.05953545857096,degrees/s,1730,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
20s,AI,flight_2026-07-01-14-59-51.bag,ai_flight_1,36.31,56.31,20.0,Minimum roll angle,-4.027344499115178,degrees,2398,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-14-59-51.bag,ai_flight_1,36.31,56.31,20.0,Maximum roll angle,11.176179355299906,degrees,2398,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-14-59-51.bag,ai_flight_1,36.31,56.31,20.0,Peak absolute roll angle,11.176179355299906,degrees,2398,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-14-59-51.bag,ai_flight_1,36.31,56.31,20.0,Minimum relative pitch angle,-9.248115184069125,degrees,2398,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_2026-07-01-14-59-51.bag,ai_flight_1,36.31,56.31,20.0,Maximum relative pitch angle,6.015504011278095,degrees,2398,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_2026-07-01-14-59-51.bag,ai_flight_1,36.31,56.31,20.0,Maximum absolute pitch angle,8.988153312941328,degrees,2398,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
