evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
ai_flight_1,41.14,51.14,10,Peak horizontal velocity,5.4801076,m/s,1197,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_1,41.14,51.14,10,RMS horizontal velocity,3.11107383,m/s,1197,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_1,41.14,51.14,10,Peak absolute X velocity,0.942520518,m/s,1197,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
ai_flight_1,41.14,51.14,10,Peak absolute Y velocity,5.43094993,m/s,1197,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
ai_flight_1,41.14,51.14,10,Maximum absolute pitch rate,3.87923867,rad/s,993,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_1,41.14,51.14,10,P99 absolute pitch rate,3.30886064,rad/s,993,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_1,41.14,51.14,10,Minimum roll angle,-3.74628741,degrees,1197,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_1,41.14,51.14,10,Maximum roll angle,5.38254782,degrees,1197,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_1,41.14,51.14,10,Peak absolute roll angle,5.38254782,degrees,1197,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_1,41.14,51.14,10,Minimum relative pitch angle,-50.3827521,degrees,1197,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
ai_flight_1,41.14,51.14,10,Maximum relative pitch angle,23.1251033,degrees,1197,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
ai_flight_1,41.14,51.14,10,Maximum absolute pitch angle,37.1332614,degrees,1197,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
ai_flight_1,41.14,51.14,10,Maximum absolute yaw excursion,5.92486693,degrees,1197,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
ai_flight_1,41.14,51.14,10,Yaw range,8.64256402,degrees,1197,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
ai_flight_2,40.24,50.24,10,Peak horizontal velocity,4.2118814,m/s,1199,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_2,40.24,50.24,10,RMS horizontal velocity,1.75253479,m/s,1199,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_2,40.24,50.24,10,Peak absolute X velocity,0.449587273,m/s,1199,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
ai_flight_2,40.24,50.24,10,Peak absolute Y velocity,4.21142952,m/s,1199,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
ai_flight_2,40.24,50.24,10,Maximum absolute pitch rate,2.62719736,rad/s,997,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
