duration_s,flight,peak_horizontal_velocity_m_s,max_absolute_pitch_rate_rad_s,p99_absolute_pitch_rate_rad_s,pitch_range_deg,max_absolute_pitch_deg
10,ai flight 1,5.480107602111812,3.8792386711572284,3.3088606417179576,73.50785547318586,37.13326135606394
10,ai flight 2,4.21188139713323,2.627197355945684,2.3639874884004,65.87771373979835,35.96157229547812
10,ai flight 3,5.188529332275507,3.6889602592293596,3.078961995743543,71.92965902758966,36.51717141196999
10,ai flight 4,5.135643090268246,4.041865329019815,3.2999432329569136,72.22487919973315,36.16110009851164
20,ai flight 1,6.1432332313313225,4.945574405511682,3.748778013732769,74.71091268436956,38.33631856724763
20,ai flight 2,5.742377150834977,5.30681572430994,4.200905652034503,71.99209219767637,36.44489015563543
20,ai flight 3,6.268866504389332,4.989824218016873,3.930039966592597,76.26000315823805,38.64658448868344
20,ai flight 4,5.303756735880221,5.145724613761393,3.8130425250817166,73.33599013820243,37.02914607837848
30,ai flight 1,6.1432332313313225,4.966186670919977,3.9979300879462714,74.821611432037,38.33631856724763
30,ai flight 2,5.742377150834977,5.311775211435096,4.2524449243339655,73.62773111268729,37.182840957051866
30,ai flight 3,6.268866504389332,5.2020606596442125,4.226977323577794,76.26000315823805,38.64658448868344
30,ai flight 4,5.64062603328594,5.260681709621885,3.9797786090109835,73.82546947823604,37.11175225132614
