duration_label,dataset,bag_name,evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
10s,AI,flight_2026-07-01-12-45-01.bag,ai_flight_1,41.14,51.14,10.0,Peak horizontal velocity,5.480107602111812,m/s,1197,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
10s,AI,flight_2026-07-01-12-45-01.bag,ai_flight_1,41.14,51.14,10.0,RMS horizontal velocity,3.111073826189582,m/s,1197,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
10s,AI,flight_2026-07-01-12-45-01.bag,ai_flight_1,41.14,51.14,10.0,Peak absolute X velocity,0.9425205176915719,m/s,1197,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
10s,AI,flight_2026-07-01-12-45-01.bag,ai_flight_1,41.14,51.14,10.0,Peak absolute Y velocity,5.4309499269460915,m/s,1197,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
10s,AI,flight_2026-07-01-12-45-01.bag,ai_flight_1,41.14,51.14,10.0,Maximum absolute pitch rate,3.8792386711572284,rad/s,993,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
10s,AI,flight_2026-07-01-12-45-01.bag,ai_flight_1,41.14,51.14,10.0,P99 absolute pitch rate,3.3088606417179576,rad/s,993,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
10s,AI,flight_2026-07-01-12-45-01.bag,ai_flight_1,41.14,51.14,10.0,Minimum roll angle,-3.7462874090650096,degrees,1197,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
10s,AI,flight_2026-07-01-12-45-01.bag,ai_flight_1,41.14,51.14,10.0,Maximum roll angle,5.382547818288019,degrees,1197,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
10s,AI,flight_2026-07-01-12-45-01.bag,ai_flight_1,41.14,51.14,10.0,Peak absolute roll angle,5.382547818288019,degrees,1197,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
10s,AI,flight_2026-07-01-12-45-01.bag,ai_flight_1,41.14,51.14,10.0,Minimum relative pitch angle,-50.38275213091576,degrees,1197,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
10s,AI,flight_2026-07-01-12-45-01.bag,ai_flight_1,41.14,51.14,10.0,Maximum relative pitch angle,23.1251033422701,degrees,1197,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
10s,AI,flight_2026-07-01-12-45-01.bag,ai_flight_1,41.14,51.14,10.0,Maximum absolute pitch angle,37.13326135606394,degrees,1197,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
10s,AI,flight_2026-07-01-12-45-01.bag,ai_flight_1,41.14,51.14,10.0,Maximum absolute yaw excursion,5.924866933009041,degrees,1197,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
10s,AI,flight_2026-07-01-12-45-01.bag,ai_flight_1,41.14,51.14,10.0,Yaw range,8.642564020682189,degrees,1197,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
10s,AI,flight_2026-07-01-12-47-25.bag,ai_flight_2,40.24,50.24,10.0,Peak horizontal velocity,4.21188139713323,m/s,1199,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
10s,AI,flight_2026-07-01-12-47-25.bag,ai_flight_2,40.24,50.24,10.0,RMS horizontal velocity,1.7525347851667998,m/s,1199,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
10s,AI,flight_2026-07-01-12-47-25.bag,ai_flight_2,40.24,50.24,10.0,Peak absolute X velocity,0.44958727328081594,m/s,1199,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
10s,AI,flight_2026-07-01-12-47-25.bag,ai_flight_2,40.24,50.24,10.0,Peak absolute Y velocity,4.211429523302028,m/s,1199,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
