evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
ai_flight_1,44.93,64.93,20,Peak horizontal velocity,2.2214326,m/s,2394,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_1,44.93,64.93,20,RMS horizontal velocity,1.13099711,m/s,2394,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_1,44.93,64.93,20,Peak absolute X velocity,1.22043085,m/s,2394,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
ai_flight_1,44.93,64.93,20,Peak absolute Y velocity,2.1333024,m/s,2394,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
ai_flight_1,44.93,64.93,20,Maximum absolute pitch rate,1.67988565,rad/s,1994,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_1,44.93,64.93,20,P99 absolute pitch rate,1.18788762,rad/s,1994,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_1,44.93,64.93,20,P99 absolute yaw rate,93.8145598,degrees/s,1625,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
ai_flight_1,44.93,64.93,20,Minimum roll angle,-6.4515376,degrees,2395,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_1,44.93,64.93,20,Maximum roll angle,16.3260333,degrees,2395,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_1,44.93,64.93,20,Peak absolute roll angle,16.3260333,degrees,2395,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_1,44.93,64.93,20,Minimum relative pitch angle,-19.6533714,degrees,2395,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
ai_flight_1,44.93,64.93,20,Maximum relative pitch angle,15.0946907,degrees,2395,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
ai_flight_1,44.93,64.93,20,Maximum absolute pitch angle,21.5774598,degrees,2395,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
ai_flight_1,44.93,64.93,20,Maximum absolute yaw excursion,64.1532592,degrees,2395,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
ai_flight_1,44.93,64.93,20,Yaw range,120.561663,degrees,2395,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
ai_flight_2,38.07,58.07,20,Peak horizontal velocity,2.17108634,m/s,2401,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_2,38.07,58.07,20,RMS horizontal velocity,0.973813699,m/s,2401,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_2,38.07,58.07,20,Peak absolute X velocity,1.24741915,m/s,2401,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
ai_flight_2,38.07,58.07,20,Peak absolute Y velocity,2.15993974,m/s,2401,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
ai_flight_2,38.07,58.07,20,Maximum absolute pitch rate,2.07859337,rad/s,1998,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_2,38.07,58.07,20,P99 absolute pitch rate,0.857513739,rad/s,1998,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_2,38.07,58.07,20,P99 absolute yaw rate,114.531849,degrees/s,1755,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
ai_flight_2,38.07,58.07,20,Minimum roll angle,-9.14146371,degrees,2401,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_2,38.07,58.07,20,Maximum roll angle,9.8395815,degrees,2401,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_2,38.07,58.07,20,Peak absolute roll angle,9.8395815,degrees,2401,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
