metric,unit,AI_average,RAW_average,RAW_minus_AI
Peak horizontal velocity,m/s,2.18906515,1.3728595,-0.816205657
RMS horizontal velocity,m/s,1.10938406,0.737608742,-0.37177532
Peak absolute X velocity,m/s,1.35735645,0.821967142,-0.535389312
Peak absolute Y velocity,m/s,2.1149049,1.24895958,-0.86594532
Maximum absolute pitch rate,rad/s,1.88462893,1.19342287,-0.691206062
P99 absolute pitch rate,rad/s,1.08569114,0.749945701,-0.335745436
P99 absolute yaw rate,degrees/s,114.414998,70.6569732,-43.7580247
Minimum roll angle,degrees,-12.1530997,-3.59767845,8.55542121
Maximum roll angle,degrees,8.46375,4.66822977,-3.79552024
Peak absolute roll angle,degrees,14.2676224,5.29918176,-8.9684406
Minimum relative pitch angle,degrees,-15.5423612,-10.7342632,4.80809799
Maximum relative pitch angle,degrees,16.2169444,7.08875137,-9.12819303
Maximum absolute pitch angle,degrees,19.1864232,10.9583575,-8.22806567
Maximum absolute yaw excursion,degrees,86.8548025,63.1763494,-23.6784531
Yaw range,degrees,112.465985,97.4221132,-15.0438721
