evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
raw_flight_1,38.05,58.05,20,Peak horizontal velocity,1.77735015,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_1,38.05,58.05,20,RMS horizontal velocity,0.709368599,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_1,38.05,58.05,20,Peak absolute X velocity,0.919774106,m/s,2399,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
raw_flight_1,38.05,58.05,20,Peak absolute Y velocity,1.59033859,m/s,2399,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
raw_flight_1,38.05,58.05,20,Maximum absolute pitch rate,2.09641578,rad/s,1995,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_1,38.05,58.05,20,P99 absolute pitch rate,1.44395618,rad/s,1995,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_1,38.05,58.05,20,P99 absolute yaw rate,68.8985135,degrees/s,1635,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
raw_flight_1,38.05,58.05,20,Minimum roll angle,-2.66743245,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_1,38.05,58.05,20,Maximum roll angle,4.3317002,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_1,38.05,58.05,20,Peak absolute roll angle,4.3317002,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_1,38.05,58.05,20,Minimum relative pitch angle,-21.8399601,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
raw_flight_1,38.05,58.05,20,Maximum relative pitch angle,6.50670437,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
raw_flight_1,38.05,58.05,20,Maximum absolute pitch angle,20.9987039,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
raw_flight_1,38.05,58.05,20,Maximum absolute yaw excursion,47.8609871,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
raw_flight_1,38.05,58.05,20,Yaw range,90.1761333,degrees,2400,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
raw_flight_2,34.77,54.77,20,Peak horizontal velocity,1.53312362,m/s,2394,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_2,34.77,54.77,20,RMS horizontal velocity,0.80692892,m/s,2394,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_2,34.77,54.77,20,Peak absolute X velocity,0.676781594,m/s,2394,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
