duration_label,dataset,bag_name,evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
20s,RAW,flight_2026-07-01-13-55-52.bag,raw_flight_1,38.05,58.05,20.0,Peak horizontal velocity,1.7773501536146439,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-13-55-52.bag,raw_flight_1,38.05,58.05,20.0,RMS horizontal velocity,0.7093685991366325,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-13-55-52.bag,raw_flight_1,38.05,58.05,20.0,Peak absolute X velocity,0.9197741055660602,m/s,2399,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
20s,RAW,flight_2026-07-01-13-55-52.bag,raw_flight_1,38.05,58.05,20.0,Peak absolute Y velocity,1.5903385924357671,m/s,2399,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
20s,RAW,flight_2026-07-01-13-55-52.bag,raw_flight_1,38.05,58.05,20.0,Maximum absolute pitch rate,2.0964157847281006,rad/s,1995,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,RAW,flight_2026-07-01-13-55-52.bag,raw_flight_1,38.05,58.05,20.0,P99 absolute pitch rate,1.4439561817754871,rad/s,1995,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,RAW,flight_2026-07-01-13-55-52.bag,raw_flight_1,38.05,58.05,20.0,P99 absolute yaw rate,68.89851345628419,degrees/s,1635,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
20s,RAW,flight_2026-07-01-13-55-52.bag,raw_flight_1,38.05,58.05,20.0,Minimum roll angle,-2.6674324485618173,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-13-55-52.bag,raw_flight_1,38.05,58.05,20.0,Maximum roll angle,4.3317002035531065,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-13-55-52.bag,raw_flight_1,38.05,58.05,20.0,Peak absolute roll angle,4.3317002035531065,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-13-55-52.bag,raw_flight_1,38.05,58.05,20.0,Minimum relative pitch angle,-21.839960052288113,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,RAW,flight_2026-07-01-13-55-52.bag,raw_flight_1,38.05,58.05,20.0,Maximum relative pitch angle,6.506704369619273,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,RAW,flight_2026-07-01-13-55-52.bag,raw_flight_1,38.05,58.05,20.0,Maximum absolute pitch angle,20.99870389603256,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
20s,RAW,flight_2026-07-01-13-55-52.bag,raw_flight_1,38.05,58.05,20.0,Maximum absolute yaw excursion,47.86098714615969,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
20s,RAW,flight_2026-07-01-13-55-52.bag,raw_flight_1,38.05,58.05,20.0,Yaw range,90.17613331879923,degrees,2400,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
20s,RAW,flight_2026-07-01-13-58-03.bag,raw_flight_2,34.77,54.77,20.0,Peak horizontal velocity,1.5331236223273863,m/s,2394,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-13-58-03.bag,raw_flight_2,34.77,54.77,20.0,RMS horizontal velocity,0.8069289202598238,m/s,2394,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-13-58-03.bag,raw_flight_2,34.77,54.77,20.0,Peak absolute X velocity,0.6767815935701371,m/s,2394,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
