duration_label,dataset,bag_name,evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
20s,AI,flight_2026-07-01-12-57-53.bag,ai_flight_1,44.93,64.93,20.000000000000007,Peak horizontal velocity,2.221432595501932,m/s,2394,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-12-57-53.bag,ai_flight_1,44.93,64.93,20.000000000000007,RMS horizontal velocity,1.130997111601358,m/s,2394,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-12-57-53.bag,ai_flight_1,44.93,64.93,20.000000000000007,Peak absolute X velocity,1.2204308492843952,m/s,2394,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
20s,AI,flight_2026-07-01-12-57-53.bag,ai_flight_1,44.93,64.93,20.000000000000007,Peak absolute Y velocity,2.133302399785071,m/s,2394,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
20s,AI,flight_2026-07-01-12-57-53.bag,ai_flight_1,44.93,64.93,20.000000000000007,Maximum absolute pitch rate,1.6798856541492704,rad/s,1994,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_2026-07-01-12-57-53.bag,ai_flight_1,44.93,64.93,20.000000000000007,P99 absolute pitch rate,1.1878876156993592,rad/s,1994,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_2026-07-01-12-57-53.bag,ai_flight_1,44.93,64.93,20.000000000000007,P99 absolute yaw rate,93.81455975329858,degrees/s,1625,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
20s,AI,flight_2026-07-01-12-57-53.bag,ai_flight_1,44.93,64.93,20.000000000000007,Minimum roll angle,-6.451537595679326,degrees,2395,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-12-57-53.bag,ai_flight_1,44.93,64.93,20.000000000000007,Maximum roll angle,16.326033280783577,degrees,2395,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-12-57-53.bag,ai_flight_1,44.93,64.93,20.000000000000007,Peak absolute roll angle,16.326033280783577,degrees,2395,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-12-57-53.bag,ai_flight_1,44.93,64.93,20.000000000000007,Minimum relative pitch angle,-19.65337141624378,degrees,2395,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_2026-07-01-12-57-53.bag,ai_flight_1,44.93,64.93,20.000000000000007,Maximum relative pitch angle,15.094690666167574,degrees,2395,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_2026-07-01-12-57-53.bag,ai_flight_1,44.93,64.93,20.000000000000007,Maximum absolute pitch angle,21.577459827965665,degrees,2395,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
20s,AI,flight_2026-07-01-12-57-53.bag,ai_flight_1,44.93,64.93,20.000000000000007,Maximum absolute yaw excursion,64.15325916421898,degrees,2395,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
20s,AI,flight_2026-07-01-12-57-53.bag,ai_flight_1,44.93,64.93,20.000000000000007,Yaw range,120.56166313475038,degrees,2395,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
20s,AI,flight_2026-07-01-13-00-24.bag,ai_flight_2,38.07,58.07,20.0,Peak horizontal velocity,2.1710863355562844,m/s,2401,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-13-00-24.bag,ai_flight_2,38.07,58.07,20.0,RMS horizontal velocity,0.973813698887671,m/s,2401,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-13-00-24.bag,ai_flight_2,38.07,58.07,20.0,Peak absolute X velocity,1.2474191529343237,m/s,2401,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
20s,AI,flight_2026-07-01-13-00-24.bag,ai_flight_2,38.07,58.07,20.0,Peak absolute Y velocity,2.1599397388932307,m/s,2401,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
20s,AI,flight_2026-07-01-13-00-24.bag,ai_flight_2,38.07,58.07,20.0,Maximum absolute pitch rate,2.078593372710692,rad/s,1998,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_2026-07-01-13-00-24.bag,ai_flight_2,38.07,58.07,20.0,P99 absolute pitch rate,0.857513738924912,rad/s,1998,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_2026-07-01-13-00-24.bag,ai_flight_2,38.07,58.07,20.0,P99 absolute yaw rate,114.53184919764378,degrees/s,1755,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
